date,basedate,tmax
1914-03-13,41708,39
1914-03-14,41709,49
1914-03-15,41710,60
1914-03-16,41711,66
1914-03-17,41712,60
1914-03-18,41713,54
1914-03-19,41714,37
1914-03-20,41715,34
1914-03-21,41716,31
1914-03-22,41717,39
1914-03-23,41718,46
1914-03-24,41719,53
1914-03-25,41720,65
1914-03-26,41721,71
1914-03-27,41722,75
1914-03-28,41723,75
1914-03-29,41724,62
1914-03-30,41725,55
1914-03-31,41726,53
1914-04-01,41727,49
1914-04-02,41728,59
1914-04-03,41729,52
1914-04-04,41730,45
1914-04-05,41731,48
1914-04-06,41732,72
1914-04-07,41733,72
1914-04-08,41734,45
1914-04-09,41735,44
1914-04-10,41736,51
1914-04-11,41737,66
1914-04-12,41738,64
1914-04-13,41739,59
1914-04-14,41740,55
1914-04-15,41741,54
1914-04-16,41742,50
1914-04-17,41743,66
1914-04-18,41744,80
1914-04-19,41745,82
1914-04-20,41746,74
1914-04-21,41747,54
1914-04-22,41748,82
1914-04-23,41749,60
1914-04-24,41750,60
1914-04-25,41751,60
1914-04-26,41752,75
1914-04-27,41753,71
1914-04-28,41754,75
1914-04-29,41755,86
1914-04-30,41756,71
1914-05-01,41757,65
1914-05-02,41758,63
1914-05-03,41759,70
1914-05-04,41760,81
1914-05-05,41761,80
1914-05-06,41762,76
1914-05-07,41763,75
1914-05-08,41764,71
1914-05-09,41765,67
1914-05-10,41766,70
1914-05-11,41767,85
1914-05-12,41768,91
1914-05-13,41769,90
1914-05-14,41770,67
1914-05-15,41771,69
1914-05-16,41772,69
1914-05-17,41773,70
1914-05-18,41774,80
1914-05-19,41775,84
1914-05-20,41776,86
1914-05-21,41777,86
1914-05-22,41778,86
1914-05-23,41779,80
1914-05-24,41780,80
1914-05-25,41781,87
1914-05-26,41782,93
1914-05-27,41783,95
1914-05-28,41784,94
1914-05-29,41785,86
1914-05-30,41786,90
1914-05-31,41787,82
1914-06-01,41788,85
1914-06-02,41789,86
1914-06-03,41790,81
1914-06-04,41791,84
1914-06-05,41792,85
1914-06-06,41793,76
1914-06-07,41794,92
1914-06-08,41795,93
1914-06-09,41796,93
1914-06-10,41797,96
1914-06-11,41798,95
1914-06-12,41799,93
1914-06-13,41800,92
1914-06-14,41801,84
1914-06-15,41802,83
1914-06-16,41803,78
1914-06-17,41804,87
1914-06-18,41805,80
1914-06-19,41806,81
1914-06-20,41807,75
1914-06-21,41808,90
1914-06-22,41809,85
1914-06-23,41810,93
1914-06-24,41811,96
1914-06-25,41812,97
1914-06-26,41813,89
1914-06-27,41814,89
1914-06-28,41815,96
1914-06-29,41816,90
1914-06-30,41817,78
1914-07-01,41818,79
1914-07-02,41819,84
1914-07-03,41820,85
1914-07-04,41821,80
1914-07-05,41822,77
1914-07-06,41823,78
1914-07-07,41824,81
1914-07-08,41825,85
1914-07-09,41826,87
1914-07-10,41827,89
1914-07-11,41828,92
1914-07-12,41829,93
1914-07-13,41830,89
1914-07-14,41831,83
1914-07-15,41832,85
1914-07-16,41833,89
1914-07-17,41834,92
1914-07-18,41835,89
1914-07-19,41836,85
1914-07-20,41837,85
1914-07-21,41838,91
1914-07-22,41839,94
1914-07-23,41840,97
1914-07-24,41841,93
1914-07-25,41842,91
1914-07-26,41843,87
1914-07-27,41844,94
1914-07-28,41845,83
1914-07-29,41846,76
1914-07-30,41847,75
1914-07-31,41848,76
1914-08-01,41849,85
1914-08-02,41850,85
1914-08-03,41851,80
1914-08-04,41852,81
1914-08-05,41853,80
1914-08-06,41854,82
1914-08-07,41855,93
1914-08-08,41856,95
1914-08-09,41857,93
1914-08-10,41858,90
1914-08-11,41859,92
1914-08-12,41860,72
1914-08-13,41861,80
1914-08-14,41862,85
1914-08-15,41863,84
1914-08-16,41864,90
1914-08-17,41865,89
1914-08-18,41866,93
1914-08-19,41867,95
1914-08-20,41868,97
1914-08-21,41869,93
1914-08-22,41870,83
1914-08-23,41871,92
1914-08-24,41872,93
1914-08-25,41873,91
1914-08-26,41874,65
1914-08-27,41875,70
1914-08-28,41876,76
1914-08-29,41877,88
1914-08-30,41878,86
1914-08-31,41879,85
1914-09-01,41880,89
1914-09-02,41881,94
1914-09-03,41882,91
1914-09-04,41883,81
1914-09-05,41884,71
1914-09-06,41885,85
1914-09-07,41886,85
1914-09-08,41887,84
1914-09-09,41888,66
1914-09-10,41889,68
1914-09-11,41890,65
1914-09-12,41891,58
1914-09-13,41892,63
1914-09-14,41893,68
1914-09-15,41894,70
1914-09-16,41895,73
1914-09-17,41896,73
1914-09-18,41897,83
1914-09-19,41898,83
1914-09-20,41899,83
1914-09-21,41900,82
1914-09-22,41901,92
1914-09-23,41902,92
1914-09-24,41903,77
1914-09-25,41904,77
1914-09-26,41905,77
1914-09-27,41906,74
1914-09-28,41907,72
1914-09-29,41908,68
1914-09-30,41909,77
1914-10-01,41910,74
1914-10-02,41911,70
1914-10-03,41912,70
1914-10-04,41913,71
1914-10-05,41914,76
1914-10-06,41915,79
1914-10-07,41916,78
1914-10-08,41917,73
1914-10-09,41918,80
1914-10-10,41919,84
1914-10-11,41920,83
1914-10-12,41921,82
1914-10-13,41922,88
1914-10-14,41923,70
1914-10-15,41924,56
1914-10-16,41925,74
1914-10-17,41926,73
1914-10-18,41927,69
1914-10-19,41928,70
1914-10-20,41929,73
1914-10-21,41930,70
1914-10-22,41931,75
1914-10-23,41932,75
1914-10-24,41933,63
1914-10-25,41934,63
1914-10-26,41935,63
1914-10-27,41936,62
1914-10-28,41937,49
1914-10-29,41938,58
1914-10-30,41939,58
1914-10-31,41940,67
1914-11-01,41941,70
1914-11-02,41942,65
1914-11-03,41943,70
1914-11-04,41944,78
1914-11-05,41945,60
1914-11-06,41946,61
1914-11-07,41947,68
1914-11-08,41948,70
1914-11-09,41949,63
1914-11-10,41950,46
1914-11-11,41951,48
1914-11-12,41952,60
1914-11-13,41953,65
1914-11-14,41954,67
1914-11-15,41955,68
1914-11-16,41956,53
1914-11-17,41957,46
1914-11-18,41958,38
1914-11-19,41959,40
1914-11-20,41960,40
1914-11-21,41961,39
1914-11-22,41962,45
1914-11-23,41963,41
1914-11-24,41964,46
1914-11-25,41965,59
1914-11-26,41966,60
1914-11-27,41967,68
1914-11-28,41968,56
1914-11-29,41969,46
1914-11-30,41970,53
1914-12-01,41971,54
1914-12-02,41972,60
1914-12-03,41973,61
1914-12-04,41974,59
1914-12-05,41975,44
1914-12-06,41976,48
1914-12-07,41977,34
1914-12-08,41978,41
1914-12-09,41979,40
1914-12-10,41980,37
1914-12-11,41981,37
1914-12-12,41982,37
1914-12-13,41983,32
1914-12-14,41984,37
1914-12-15,41985,26
1914-12-16,41986,22
1914-12-17,41987,26
1914-12-18,41988,25
1914-12-19,41989,35
1914-12-20,41990,45
1914-12-21,41991,32
1914-12-22,41992,47
1914-12-23,41993,35
1914-12-24,41994,33
1914-12-25,41995,36
1914-12-26,41996,31
1914-12-27,41997,22
1914-12-28,41998,32
1914-12-29,41999,36
1914-12-30,42000,41
1914-12-31,42001,37
1915-01-01,42002,36
1915-01-02,42003,30
1915-01-03,42004,32
1915-01-04,42005,30
1915-01-05,42006,42
1915-01-06,42007,42
1915-01-07,42008,53
1915-01-08,42009,44
1915-01-09,42010,44
1915-01-10,42011,42
1915-01-11,42012,38
1915-01-12,42013,37
1915-01-13,42014,42
1915-01-14,42015,45
1915-01-15,42016,48
1915-01-16,42017,49
1915-01-17,42018,45
1915-01-18,42019,47
1915-01-19,42020,50
1915-01-20,42021,38
1915-01-21,42022,35
1915-01-22,42023,30
1915-01-23,42024,53
1915-01-24,42025,53
1915-01-25,42026,41
1915-01-26,42027,41
1915-01-27,42028,37
1915-01-28,42029,37
1915-01-29,42030,35
1915-01-30,42031,31
1915-01-31,42032,32
1915-02-01,42033,29
1915-02-02,42034,39
1915-02-03,42035,34
1915-02-04,42036,34
1915-02-05,42037,36
1915-02-06,42038,45
1915-02-07,42039,45
1915-02-08,42040,32
1915-02-09,42041,33
1915-02-10,42042,37
1915-02-11,42043,50
1915-02-12,42044,54
1915-02-13,42045,53
1915-02-14,42046,50
1915-02-15,42047,52
1915-02-16,42048,47
1915-02-17,42049,43
1915-02-18,42050,41
1915-02-19,42051,42
1915-02-20,42052,48
1915-02-21,42053,55
1915-02-22,42054,56
1915-02-23,42055,62
1915-02-24,42056,62
1915-02-25,42057,59
1915-02-26,42058,42
1915-02-27,42059,42
1915-02-28,42060,40
1915-03-01,42061,38
1915-03-02,42062,48
1915-03-03,42063,48
1915-03-04,42064,43
1915-03-05,42065,42
1915-03-06,42066,36
1915-03-07,42067,43
1915-03-08,42068,44
1915-03-09,42069,42
1915-03-10,42070,48
1915-03-11,42071,48
1915-03-12,42072,48
1915-03-13,42073,51
1915-03-14,42074,52
1915-03-15,42075,57
1915-03-16,42076,55
1915-03-17,42077,44
1915-03-18,42078,48
1915-03-19,42079,46
1915-03-20,42080,45
1915-03-21,42081,45
1915-03-22,42082,40
1915-03-23,42083,50
1915-03-24,42084,47
1915-03-25,42085,58
1915-03-26,42086,57
1915-03-27,42087,42
1915-03-28,42088,52
1915-03-29,42089,46
1915-03-30,42090,48
